reviewerID,asin,reviewerName,helpful,reviewText,overall,summary,unixReviewTime,reviewTime
AX1QE6IR7CHXM,0000031887,JJ,"[0, 0]","Wonder my niece wears it every single day, yellow is her favorite color right now an this cute little tutu made he da. It is well built and we hope she gets lots of wear out of it.",5,Wonderful and great shipping.,1388620800,"01 2, 2014"
A2A2WZYLU528RO,0000031887,Julie Gayler,"[0, 0]","My daughter has worn this skirt almost every day since she received it and it's even been through the washer along with the other clothes.  It's amazing quality!  She fits a 4T and it's just above her knee, and has a little bit of growing room, although I'm not so sure as much as others are saying.  But considering how often she wears it, I'm not worried! ;)",5,Excellent quality!,1391040000,"01 30, 2014"
A391EXIT5TFP72,0000031887,Lisbeth Starr,"[0, 0]",Purchased this tutu for my granddaughter's first birthday.  It fit nicely with room to grow in.  I'm very please with it and will purchase more in varying colors in the future.,5,Wonderful tutu!,1321056000,"11 12, 2011"
A34ATJR9KFIXL9,0000031887,Maudy1,"[1, 1]",Full and well stitched.  This tutu is a beautiful purple color that looks just like the picture.  It looks just adorable on our little fairy.,5,Great Tutu,1361664000,"02 24, 2013"
AJ6B83I4YJHYW,0000031887,M. Davis,"[0, 0]","This was a gift for a two year old and a five year old.  The girls squealed upon opening the box, they grabbed the tutus, put them on, and wore them the rest of the day.  The tutus seem to be well made, and can stand up to handling by little princesses.  I recommend these tutus.",5,Great tutu for little girls!,1372636800,"07 1, 2013"
A26A4KKLAVTMCC,0000031887,Moonlight,"[0, 0]","My 3yr old loved this tutu skirt in pink! Was hoping to order more in different colors.She had hardly used this,the stitching came apart in 2weeks.now it's lying in her closet..Altogether she wore it like 4-5 times for 20 mins or so.wish the stitching was of better quality to hold up while little ones wear it. Can't recommend.",3,Came apart in 2weeks!,1395273600,"03 20, 2014"
A1MXJVYXE2QU6H,0000031887,"Mother Goose ""WI Grandma""","[0, 0]",Perfect for my budding grand daughter ballerina! Beautiful vibrant color.  Fits great and easy to  clean!  I bought several more colors!,5,So cute!,1367020800,"04 27, 2013"
A2XJ13PIXVJFJH,0000031887,"Myra MLH ""Myra MLH""","[0, 0]",Never GOT this item - but gave a 1 STAR because the replies from the SUPPLIER was GREAT.They tried to send the item more than once.My $ was refunded in a timely manner too.It was a shame I never got it for my daughter - it would of looked great with her OUTFIT for Dr. Seuss WEEK at school.Most original.Maybe next time.,1,Never GOT IT....,1399852800,"05 12, 2014"
A287XY94U7JDM8,0000031887,Natasha,"[0, 0]",Nice and puffy tutu skirt. I would recommend this for girls under 10 yr. old.  It will be too short and small for older girls.,5,Nice skirt,1387843200,"12 24, 2013"
A1JR9KKF6UKUWW,0000031887,Queens Meadow,"[0, 0]",Bought this for my niece as part of her fairy outfit.  She loves it and wears it all the time.  Well made for the price.,5,must have for a fairy princess,1359504000,"01 30, 2013"
A2SX7X8QGQVCJU,0000031887,Shannon,"[0, 0]",My 4 year old daughter always wants to play dress up. I bought this for her for Christmas and she never wanted to take it off. It is almost a year later and she still has it!! It was well worth the money and has held up this long with nothing wrong with it!! I would recommend it,5,My daughter loved it,1351036800,"10 24, 2012"
A2Q6UWR5PBHTJS,0000031887,"Sylvia ""Sylvia""","[0, 0]","Our granddaughters are all very girlie, so when the youngest one received this for Christmas, they all wanted it!  Great color and fit for a 2 year old as well as her aunt who is 30!  I would recommend this tutu for all little girls.",5,Sassy!,1358553600,"01 19, 2013"
AJZPHJR944IBB,0000031887,V's Mommy in Mass.,"[1, 2]","Prompt delivery, and it is exactly as described.  The only reason I did not give it 5 stars is because I haven't washed it yet- so I don't know how it will hold up... Other than that my little girl LOVES her tutus (we got one in light pink also), especially spinning and running in them :)  She's on the little side, so my concern was that it would be too big, but the fit is perfect!  The elastic waist will expand with her as she grows.",4,Practically Perfect in every way!,1365552000,"04 10, 2013"
A2WNN1DQVL4LH5,0123456479,Caddycat,"[1, 1]","The minute I saw this my heart skipped a beat. What a nice case to sort my collection. I love all the compartments and the layout too. You will love this color too. If this is a gift do not hesitate. It will please even the most fussy, as I am. The price is fair if you check around as I did. Seems well made too. It is suitable for an adult though. Not meant as a toy. This is for serious jewelry lover's. Buy it.....",5,Breathtaking 5 Stars,1383782400,"11 7, 2013"
A1ZPOCG2ST2CY3,0123456479,Deedee King,"[0, 1]",Love this Jewelry Box  so well put together holds plendy... Love the pink & looks so nice on my vanity.,5,VERY NICE,1390089600,"01 19, 2014"
A1WDJIFL2F4QJA,0123456479,Eddie,"[1, 2]",This products is great for anyone with a lot of jewelry my girlfriend has a lot and this gift for her was one of my best ideas! i recommend this to any one with a lot of jewelry,5,Amazing so many compartments,1348444800,"09 24, 2012"
A3RB1JA72Z0TUN,0123456479,Elena M.,"[0, 0]","I already own this particular Shining Image jewelry box in brown, so this was my second buy. It arrived with some of the leather scratched, even though it looked like I was the first one opening the box. This particular color pink also looked pretty bad in person. The quality of this box seemed lesser than the brown one I own.I returned this pink case for a refund without a problem.  Got another brown Shining Image jewelry case and it's fine!",3,Arrived with a defect,1387411200,"12 19, 2013"
A1JC50F14SLAEV,0123456479,Mada,"[0, 0]","I wanted to have the title summarize my thoughts if you decide not to read the entire review.  My granddaughter likes the Shining Image Jewelry Box given to her for a birthday gift from Grandma.  I wish the drawers were deeper for holding her many necklaces.  Also, I wish the drawers had a stop, preventing the drawers from tipping contents entirely when trying to remove one piece of jewelry.  My granddaughter is only five years old, so having the background knowledge of knowing when to stop the action of pulling the drawer from the base requires practice.  I, on the other hand, have had lacks of years of practice with jewelry drawers, but also struggle with removing the drawer without spilling the contents.",3,Nice Size But Drawers Are A Concern,1399852800,"05 12, 2014"
A8WD29DKN8ZC3,0123456479,Shopper22,"[0, 0]","Really nice box, a bit cheaply made. It is made of carboard with pleather. Although the organization for all your jewelry is great, I'm not so sure how it will stand up to my tween daughter's use. Every inch is useable space for jewelry & very compact, which is a nice feature.",4,Great jewelry box,1388102400,"12 27, 2013"
A1F7YU6O5RU432,1608299953,Angela Streiff,"[0, 0]","Since learning a language from software is not exactly the same as learning a language from going to live in the country itself, I suggest picking up the Rosetta Stone software 1 level at a time, like this French level 1. That way you know if you are able to learn from the software, before investing even more money into it. Since total immersion into another country to learn is not always an option, Rosetta Stone it the next best thing. While a class environment might work better for some, there's not always time for that either. Sometimes there's just enough time on the weekends, or in the evenings after work to get a few hours of studying in. Or maybe you just don't want to sit in a school like classroom, trying to learn from an instructor. That's where Rosetta Stone comes in.Rosetta Stone tries to be more than just a computer program. Instead it's interactive, and is a cross between software and an at-home classroom Spanish lesson. The software comes with a headset and microphone so that while you are learning, you also speak into the headset and respond to questions. The software helps one learn how to pronounce the words and practice what you've learned to help retain it. Unlike a classroom environment, you can work at this at your own pace, which I appreciate. When I took a Spanish class, some of the students flew ahead of me, while the rest of us were just trying to keep up. Rosetta Stone lets a person learn at the pace they learn at (fast or slow) so they don't end up missing anything along the way. I'm more comfortable learning from the program as well, than in front of a group of strangers .While going to France and living there for a while is probably the easiest and fastest way to learn French, Rosetta Stone is the next best thing, and a more realistic option for most people.",5,"Suggest getting this 1 level at a time, so you know if you can learn from the program",1365465600,"04 9, 2013"
A3INPLAFCMRI3I,1608299953,Cheryl,"[201, 205]","The product itself is five stars, however the description is faulty.  I researched this product a great deal before purchasing and even got the free demo CD first.  I really do like the learning process, it feels intuitive.  The problem is, sitting at my desktop computer is inconvenient and I do not have a laptop.  So when I learned that there is an ""App for that"", I was thrilled.  I own both an iPhone and an iPad so with the Rosetta Stone apps that link directly to my account I could learn and practice wherever I needed to.  For three months I made great progress whether at home, in the backyard or at work on my lunch hour.  On day 91 I suddenly could not connect, my apps kept saying ""no course found for this account"".  The product still works on my desktop but it turns out the apps portion of the product was just a free trial.  If I want to continue learning this way I need to purchase a very expensive subscription.  No where on this product page does it say that the companion apps are a trial version.  I am very disappointed with Rosetta Stone and Amazon.  I did call Amazon but the rep I spoke to did not know whether the product info was written by Rosetta Stone or Amazon, I am sure it was the former.  Amazon did try to assist me by offering a partial refund but that was not really what I wanted.  I want to continue to learn on my iPad!  My disappointed with Amazon is because that call I made to them took place about two months ago and I see the product info page has not changed, I do not see anything about the iPhone apps being a 90 day trial.UPDATE: AUGUST 23, 2013I see that Amazon has updated the description slightly with this sentence, ""Enhance your learning on-the-go with Rosetta Stone mobile apps for the Kindle Fire HD, iPad and iPhone. Three month access included with purchase.""  I personally think it is still obscure since the part about the mobile companion is much farther down in the description but at least it is something.",4,4 stars BUT beware...,1322956800,"12 4, 2011"
A3NHUQ33CFH3VM,1608299953,Citizen John,"[5, 6]","The first question was which computers to install this program - Rosetta Stone has a two seat minimum. I ended up putting the 2nd installation on a laptop, expecting to use the program in other locations.  However, Rosetta Stone's immersion method feels too intensive to me for use in most places away from home.  Installation was easy enough even though the program got stuck a couple of times along the way. The gear, headset with microphone, is sufficient.Pros:* For total immersion-type instruction without the benefit of communicating with other people, this seemed very good.* The voice recognition software is impressive. I was able to immediately begin speaking and progressed to the second level of difficulty fairly quickly. There are plenty of exercises and repetition, and this will surely help in many ways including pronunciation.* There are learning sessions in this software to allow speaking with native French speakers.*For me as an individual, this is a better way to learn than a formal classroom.Cons:* The limitation in the number of seats (2). This wasn't a problem for me yet it's something to know about.* Lack of matching supplemental physical material such as index cards with conjugations and grammatical rules. I feel the need for this and can source it out separately, but again I prefer to learn outside a formal classroom.* Lack of simple visuals to help with identifying grammatical patterns.",4,Intense way to learn,1285027200,"09 21, 2010"
A253TILLU81VZK,1608299953,D. Connelly,"[11, 13]","Okay, I admit it. I'm one of the millions of Americans that massively struggles with any language either than English. I have recently returned to college to finish out my Bachelors. The university I'm enrolled in requires two years of a foreign language. Ugh. Kill me. Kill me now. BUT with using Rosetta, I was not only able to get through my class without sounding and feeling like an idiot, but I actually got A's!! I never thought that was a possibility. I'm not ready to jet off to France or anything but I'm not a complete moron any more either. I'm calling that a huge success. Once this whole bachelors things is under my belt, I will be back to pick up the next level!!",5,Helped me actually get an A in a foreign language class!!,1308182400,"06 16, 2011"
A28QH3KX709FFQ,1608299953,"Don Quixote ""Don Q""","[24, 31]","I bought this product a little over a year ago. Now that I am done with it, I wanted to sell it. I put it on eBay and Craigslist. They had their lawyers contact the sites and have them remove the listing.Apparently in the tiny 4-point font disclaimers on the package it says that the license is not transferable, so you can't sell it as a used item after you're done with it.Total crap !",1,DO NOT BUY IF YOU EVER WANT TO RESELL IT.,1348185600,"09 21, 2012"
A1R377IPZOKLMM,1608299953,"Gina B. ""It's a dry heat!""","[0, 3]","I really enjoy the Rosetta Stone software; it's easy and fun to use.  The Rosetta Stone ""dynamic immersion"" method is different than traditional methods where you see a word in English and then see a word in the new language to memorize.  L'&eacute;tude du franais est r&eacute;ellement amusement et facile!",5,Rosetta Stone software is fun to use,1284768000,"09 18, 2010"
A3U6J0DLLDEWM2,1608299953,Jason Stokes,"[62, 66]","I've never had french, learned french, or know anything about French. Now, however, I feel like I could do OK with a quick trip and to get around conversationally. Rosetta Stone is no substitute for deep immersion learning, but it's pretty useful as a tool to learn the basics.Pros:- Builds a LOT of vocabulary quickly- Helps understand what words mean by associating them with a concept, rather than translating- Internet community is pretty cool.Cons:- Doesn't focus on grammar at all- Level 1 doesn't contain a whole lot- It's obviously pretty expensive. I guess if you're *really* interested, it's worth it.For it's purpose, it is almost perfect software. You will feel confident with the basics after this.",5,Great way to obtain functional conversation in a new language,1287446400,"10 19, 2010"
A1ZU55TM45Y2R8,1608299953,J. Haggard,"[31, 34]","La Femme Boit...... I think that means the girl drinks. Learned that in the first 5 minutes. :)Ok, overall the program is good. This was my first experience with Rosetta Stone software and I like it. They really did one heck of a job making learning fun and easy. I highly recommend the software if you want to learn a second language, it looks like it is a good product. I would definitely try other languages after seeing just how easy it is to use this stuff.What didn't I like?For starters the headphones and microphone that came with it are NOT quality, they are not comfortable and my ears got really hot. It was like wearing styrofoam balls over my ear[...]. Sure wish they headphones were at least padded better. The microphone seemed to work well, my only gripe here is the comfort of wearing it. And if you follow this program you will wear it a lot!Second, it took nearly 30 minutes for me to install the software. I understand software piracy but between the lengthy install process, having to scratch off a 28 digit code from a little plastic card and manually enter that and the several updates I had to download it was a bit dull. I sure would have like a faster, easier program to install. So don't think you can just pop this in and you are good to go, you need to first install the application, then install the language pack, then update it (if updates are available) then you need to scratch off the secret code and activate the product, then you have to setup your user profile and THEN you can finally get started.Overall the product is good, I give it 4 stars out of 5 because the software is really the key here. The headset is low quality and that takes away from the experience. I would almost they NOT provide a headset then provide the one they did. And second the install was lengthy. I got the french lesson, I don't want to have to install the application and then a language pack. The software should be smart enough to install both the app and language pack together to make the process even easier.And yes, I am a software developer so when I review software I look at it from a complete implementation standpoint. Software is only as good as the installer.",4,"Great software, not so fun to install, and headset low quality",1282694400,"08 25, 2010"
A1NIGUK4M2ST8,1608299953,mk,"[7, 9]","The Rosetta Stone process gets you involve through what they call immersion right away, and I found it quite fun.  You run the application and learning CD's through your computer, plug in your headset/microphone to the USB port, enroll on line for the web support and community and off you go.You can hear it, see it, see how your respond, and it pretty much sweeps you along and gets you quite involved.  I have learned languages(the Romance languages) traditionally in school and self-taught over the years, and I found Rosetta very helpful and engaging.The negatives are the price, and this is only Level One.  It's a fine start, but if you're serious, you're going to have to do a lot more work and dish out for the next level.  Your call!May I suggest, for quick learning, say for a trip: get a tape/cd and a book.  Learn the quick, important phrases, practice some everyday- use it, use it, use it- hear it and say it, and if you can, practice with a native speaker- you really learn that way, and you get over the nervousness of being ignorant about the language and constantly fretting about making mistakes.If you're willing to pay the price and put in time- some of us just love computer, and it also includes an Audio CD for practice elsewheres, the Rosetta Stone French will give you a good, fun start into French or any new language.",4,"A Neat System of Learning, A BIt Pricey",1305676800,"05 18, 2011"
AQY5XBYSENNZQ,1608299953,Quickbeam,"[5, 6]","I have had this product for a while to evaluate because I have so enjoyed the format and the refresher course. I have 7 years of high school and college French but like so many Americans, I never learned to speak or aurally interpret native speech properly. I found the visual and sound exercises extremely helpful and enjoyable. I have been through the entire course multiple times and found that I was able to put a DVD on ""French"" and actually understand much of what being said. I'm not sure I'd learn formal French grammar this way but I don't think that is the point of the course.I was disappointed that I could not get the speech recognition microphone function to work despite many weeks of attempts, use of customer service and other techie help. My computer is quite up to the task and so was I but I was never able to get that working. Even so, the parts of the course I was able to access were very enjoyable and enhanced my French skills. Merci!Based upon this experience, I'd definitely consider buying the next course if I could be assured the voice recognition piece would work.",4,"Really nice refresher, unable to get microphone aspect to work",1305763200,"05 19, 2011"
A1GNYV0RA0EQSS,1608299953,"Sl Judge ""gatormomz""","[2, 3]","Bring French to life!If your child is taking their first year of French or you are ready to head off on vacation and want to learn the language yourself, Rosetta Stone is a great learning tool for you both!  Version 4 comes with the learning lessons, headset with mic, app to use with your iPhone or iPod Touch for on the go learning and access to a virtual community online for lessions, games and chat!  I really don't think you can ask for more from a product.My only regret is that I didn't know about this product sooner! I certainly would have bought it for each one of my children throughout their schooling! What a GREAT product for homeschooling as well!",5,Rosetta Stone - Excellent way to learn!,1284163200,"09 11, 2010"
A3D5B2CBFNJB0K,1608299953,ut158,"[11, 12]","I got this product for my sister who enjoyed taking 4 years of French in high school.  Here is what she had to say about the product:>>>THIS IS AMAZING! I loved working with this product! I picked up on the words and phrases very quickly, and it was fun to do. They show you pictures and then show you the French word, pronounce it for you, and then you say it. It reviews the same things in different ways so practicing the words is not dry and boring. You can do it on your time and at your own pace. It also teaches you the four areas of language - speaking, listening, reading and writing. It offers activities that have you practice a combination of skills (reading and writing over listening and speaking), as well as lessons that focus on just one of the skills. I would highly recommend this product to my fellow peers! I am excited to try French Level 2 and learn even more!&lt;&lt;&lt;I asked her if she had tried any other language learning products that she could compare it to and she said she had not, but she was very happy with this.",5,Fun and effective,1290038400,"11 18, 2010"
A35V32HZEGZH04,1608299953,"W. Easley ""Opa""","[2, 5]",".When in the military,  I was stationed in Europe for several years.  The friends I made had a quiz they liked to use: ""What do you call a person who speaks three languages? Trilingual;  What do you call a person who speaks two languages?  Bilingual; What do you call a person who speaks one language?  American.I have wanted to improve my language status for many years.  My High School Latin teacher said that after I learned Latin, the other romance languages would be easy.  I considered the other romance languages (Spanish, Portugese, Italian. Aragonese, Aromanian, Arpitan, Asturian, Corsican, Emiliano-Romagnolo, Friulan, Galician, Ladino, Leonese, Lombard, Mirandese, Neapolitan, Occitan, Piedmontese, Romansh, Sardinian, Sicilian, Venetian and Walloon), only the major four (French, Spanish, Italian, and Portugese were attractive to me, but then I saw this offer from Rosetta Stone and I chose French.Learning French was easier than I thought.  Of course the grammar I learned in my four years studying Latin made French grammar easier.  Well, and I did get a French grammar text and a French dictionary, since Rosetta Level 1 is limited in grammar.  After a few months using the interactive program, I began to feel comfortable speaking the language.I was tempted to brag to my family that I now speak French, then I realized that I had yet to converse in French with another human.  Soon I remembered my years living in Germany.  I had studied German, but could not really have a meaningful conversation with a German.  When I said something in German, they would answer in English (somehow they knew I was an American).  Those who did not speak English (maybe one percent of those I encountered) used a different dialect, and I was back to using my German book and pointing to words.  The lesson for me is that now I must spend some time in France if I really want to learn the language.  Oh well, I can read French as long as people do not get technical.Recently I thought of a possible answer to the dilemma I have with my European friends.  I could learn to speak Walloon, Friulan, and Arpitan.  I am unlikely to encounter anyone who speaks those languages, so no one to question whether I really know it.  Then I will tell them I am ""quadri lingual."".  Do you think that will work? . . . Neither do I.",5,Becoming Bilingual,1328918400,"02 11, 2012"
A31ICLWQ9CSHRS,1617160377,Al Swanson,"[0, 0]","If you really need to learn a new language, and learn it fast, Rosetta Stone is the way. I've taken college/high school and even junior high classes and learned. I took a Berlitz course and learned. But by far, the fastest way to a new language - and outside of taking one as a kid in public school - the cheapest way, too, is Rosetta Stone.No, I don't work for them or even get to date that spokeswoman in the tight blue dress. But I do love learning languages and I really like RS. Lots of options to learn so you won't get bored. Very little of the repeat-after-me stuff from normal classes. And actual fun lessons. Plus iphone apps and internet based learning. They have the bases covered.Ok, what I don't like - the complexity of the install with all the verifications and such. I understand the need to prevent software theft. It seems like, as usual, the legitimate purchasers end up paying the price ($ and install-wise) for the people that don't. Arg! I'm not sure how easy/hard it would be to install it on two machines or even how hard a reinstall would be should you need to move to a new computer, but I dread finding out!That little caveat aside - and it only pertains to installing the one time - this is a TERRIFIC product. It ain't cheap, but real learning seldom is. And the benefits to you are huge.",5,A real improvement over the last version!,1305936000,"05 21, 2011"
A3I1BJIFFM4S21,1617160377,Atomicwasteland,"[8, 8]","Never having studied Italian before, and never having used Rosetta Stone before, I was definitely excited to give it a go and find out what all the hype was about.I went through the whole lesson over the course of a couple of months, spending only about a day or two a week on it.In the end, I think it was a smart system, one that has specific advantages, but also marked disadvantages.POSITIVES:+++ IMMERSION TECHNIQUE -there is no English.  you will only see pictures and hear Italian.  This means you'll learn more effectively, as your brain is forced to make certain connections on its own.  Additionally, when you see pictures, for example, of a ""male"", the picture will be different each time: one time might be a young boy, and then it might be an old man, then a young man, and so on... and the first time you see the picture you might think it is a boy, but when the second picture pops up you realize that the word must mean something else, and you relate the two, and pick the commonality.  Anyway, this is a hard example, and it is simpler than this, but the idea is that you see different pictures representing each word, each time.++ WELL DESIGNED/VARIED -there are multiple modules which are scattered throughout -listening & comprehension, reading, pronunciation, typing, and so on.  It is impressive.++ GOOD REVIEWS -when I finished a section I was happy to find out that many of the concepts came back --not right away, but later when they weren't the freshest in my mind-- this meant I had to remember it, and basically memorized it through this recall.  I thought Rosetta Stone did a great job bringing up concepts and reminding me of the concepts later on.  I did not feel the need to review previous lessons...++ PAINLESS.  This system is about as fun (can I say that?) and as painless as a computer aided language learning system can get.NEGATIVES:--- PRICE, PRICE, PRICE -for most people the $200 cost for a single lesson (less as you buy more modules) is really too high.  Yes I know these things cost money, and I know they are better than other systems, but the pricing suggests that they are worried you won't like it, and you'll feel pressured to continue because you spent so much, OR, they are trying to convince you to pay only a few hundred more to get the whole set.  I'd argue they'd be better off dropping the price in half for the first module, and then I'd recommend it more.  (And give me some sort of discount if I buy lesson 2 separately.  I am not going to buy multiple modules without buying the first one, and testing it out.  $500 for the set is too much of a committment without giving it a shot first.)- READING EXERCISES ARE BUGGY SOMETIMES -I have spent 5 minutes (unsuccessfully) on several sections where I am supposed to say just one syllable, and the voice recognition system fails.  I mean, I KNOW what I am hearing, I have studied 4 languages, have good pronunciation, and I can't for the life of me get the computer to believe I said ""PO"" (for example) instead of something unrecognizable.  It was very frustrating, as I tried to enunciate it every way imaginable, with no luck.  Yet, when It was a multi-syllabic word (with the same syllable) the computer had no problem.- NO DICTIONARY -yes, I know this isn't part of their system, but it would have been nice to have a dictionary so that I could learn some additional words on my own.  (Sometimes you just don't want to wait to lesson 5 to learn numbers, for example...)But probably the biggest criticism is that this program is no substitute for classroom participation.  (Yes, I know that there are some online modules that you can pay more for, but I wasn't interested in paying any more...)My wife was taking classroom Italian at the same time I was doing this system, and we would compare experiences.  One thing I noticed is that the ""putting-sentences-together-on-my-own-and-saying-them"" part of Rosetta Stone, was one of the weaker sections.  She, on the other hand, got many opportunities to practice.  Mine was more about listening and comprehension.Overall, if classroom Italian really isn't an option for you, because you don't have the time or you just don't like classrooms, AND you have a lot of money to spend, then I'd say this is a good deal.  (If I were forced to move overseas I would definitely invest in the system.)But, if you are a starving student, then you're better off looking for other books and CDs from the library before trying this system.Recommended, but with reservations.",4,"Nice system, but way too expensive.",1340150400,"06 20, 2012"
A216NSW58Q3SCJ,1617160377,"ccincalif ""ccincalif""","[0, 0]","Although I haven't kept up with the lessons as I should have, I have learned a lot of Italian with only the first level. I spoke some dialect, but have conjugation issues! This is most assuredly the best program I've used to learn Italian. I have the older version too, and I like the new audio-visual matching; it's different from the older version and moves a lot faster.With this version, you can move at your own pace a lot easier, and see your mistakes sooner, which is helpful.Not only does this have visual learning, and learning by audio, but also by speaking, and comparing your pronunciation to that of a native speaker, which I think is the most helpful part of the software. The way the teaching of the language is set up, is I believe, the closest to learning it naturally with native speakers. I highly recommend this software...grazie!",5,Better than any other method/software I've tried.,1368403200,"05 13, 2013"
A25C2M3QF9G7OQ,1617160377,Comdet,"[1, 1]","I've always found learning a new language to be a huge challenge. Never was able to get past the bare basics in high school language classes (German) and, despite the fact that both my parents were born and raised in Italy, I've never been able to get much traction in Italian either.The Rosetta Stone software, however, is making a difference. No, I can't say that after using the software for a week that I'm fluent in Italian, but I am making progress. It's a very comfortable way to learn the language, especially since it's self-paced and offers tools (the headset/microphone) to help out with pronunciation, a particular stumbling block for me. Since I'm so slow at picking up a language (and self-conscious about it), I'm finding this type of robust, immersive self-study to be far more effective than classroom learning.A minor nit to pick -- I wish the headset quality was a bit better since it's such an important tool in the process. It's adequate, but given the price tag for the product, better sound quality and usage comfort would be welcomed.This is only Level 1 Italian, so the language skills taught are just the basics. Think of it as a way to get your feet wet with a new language. If you're serious about becoming fluent in Italian or looking for more than just the ability to ""try on"" a new language, then you'll want to get the advanced versions (unfortunately, at a much higher cost).It is a very fun way to learn a language. If you're willing to put in the time, it does produce results.",5,A good way to get your feet wet,1299888000,"03 12, 2011"
A2BN9DIBP9A0XG,1617160377,D. Vance,"[0, 0]","I was thrilled to get the Rosetta Stone and be able to begin a lifelong desire to speak Italian!The software was very easy to load and use. The simple approach to learning a language as a child does was one terrific idea!I agree with other posters that to become fluent you will need to purchase more than just this level 1 program. However, this does allow you to learn some simple things and I do feel you could communicate enough to get your idea across.And, it is FUN to do! I'm enjoying it immensely!",5,Great tool!,1329696000,"02 20, 2012"
AY3D7DG5L5WCK,1617160377,"Edward Walker ""ednpatty""","[0, 1]",I love Rosetta Stone it is easy to use in a few quick lessons you are speaking Italian. I like how the lessons are short and easy to finish.i like the pictures I can't wait to go to Italy.,5,Easy to use,1365120000,"04 5, 2013"
